Сервер,Средний CPU %,CPU Категория,Средняя Memory %,Memory Категория,Рекомендация
metrics_DataLake-DBN1,4.92,🟢 Низкая,11.85,🟢 Низкая,Возможна консолидация
metrics_DataLake-DBN2,4.99,🟢 Низкая,11.86,🟢 Низкая,Возможна консолидация
metrics_DataLake-STBY,20.14,🟡 Нормальная,7.37,🟢 Низкая,Нормальная работа
metrics_ELK-Prom1-hot3,18.7,🟢 Низкая,50.32,🟡 Нормальная,Нормальная работа
metrics_ELK-Prom1-lgsh2,60.19,🟡 Нормальная,55.36,🟡 Нормальная,Нормальная работа
metrics_ELK-Prom1-ngnx1,10.64,🟢 Низкая,10.61,🟢 Низкая,Возможна консолидация
metrics_IWTM-PA2,4.64,🟢 Низкая,14.15,🟢 Низкая,Возможна консолидация
metrics_VSA-Apollo1,22.83,🟡 Нормальная,75,🟡 Нормальная,Нормальная работа
metrics_VSA-Lenovo1,11.37,🟢 Низкая,75,🟡 Нормальная,Нормальная работа
metrics_dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by,1.75,🟢 Низкая,8.84,🟢 Низкая,Возможна консолидация
metrics_k8s-prom2-wrk4.k8s-prom2.belpsb.by,2.58,🟢 Низкая,5.55,🟢 Низкая,Возможна консолидация
metrics_k8s-prom2-wrk6.k8s-prom2.belpsb.by,12.05,🟢 Низкая,29.3,🟢 Низкая,Возможна консолидация
metrics_k8s-prom2-wrk9.k8s-prom2.belpsb.by,12.89,🟢 Низкая,32.93,🟡 Нормальная,Нормальная работа
metrics_k8s-proxy-prom.sigma-belpsb.by,1.28,🟢 Низкая,3.54,🟢 Низкая,Возможна консолидация
metrics_k8s-psi1-wrkr1.k8s-psi1.belpsb.by,22.96,🟡 Нормальная,13.34,🟢 Низкая,Нормальная работа
metrics_k8s-psi1-wrkr2.k8s-psi1.belpsb.by,14.52,🟢 Низкая,17.46,🟢 Низкая,Возможна консолидация
metrics_ntmaster-psi,0.79,🟢 Низкая,4.53,🟢 Низкая,Возможна консолидация
metrics_ocp-lb2.ocp-ift2.sigma-belpsb.by,34.58,🟡 Нормальная,4.91,🟢 Низкая,Нормальная работа
metrics_site-web-dmz,15.88,🟢 Низкая,19.95,🟢 Низкая,Возможна консолидация
metrics_test489,99.47,🔴 Высокая,30.65,🟡 Нормальная,Требуется масштабирование
