cpu.ready.summation	cpu.usage.average	cpu.usagemhz.average	disk.usage.average	mem.consumed.average	mem.usage.average	net.usage.average
29064	7.37	2361	119	134205436	1.07	1739
19043	2.41	774	152	134205436	0.99	605
18583	2.35	754	194	134205436	0.99	586
12339	1	322	64	134205436	0.99	145
13225	1.32	423	100	134205436	0.99	218
10687	0.82	264	35	134205436	0.99	107
12292	1.02	327	65	134205436	0.99	176
8136	0.79	256	55	134205436	1.02	113
6493	0.88	284	60	134205436	0.99	158
9629	0.8	257	35	134205436	1.06	106
11240	1.02	328	60	134205436	0.99	159
5741	0.69	223	35	134205436	0.99	106
10940	1.01	325	117	134205436	0.99	158
6417	0.74	237	35	134205436	0.99	106
9521	0.98	317	195	134205436	0.99	158
6982	0.76	244	35	134205436	0.99	106
8002	0.94	301	60	134205436	0.99	157
5087	0.67	216	36	134205436	0.99	106
