VM_Name	vCenter	Timestamp	cpu.ready.summation	cpu.usage.average	cpu.usagemhz.average	disk.maxtotallatency.latest	disk.usage.average	mem.consumed.average	mem.usage.average	mem.vmmemctl.average	net.usage.average
AIRFLOW1	vcsa67.belpsb.by	04.12.25 15:00:00	29064	7.37	2361	0	119	134205436	1.07	0	1739
AIRFLOW1	vcsa67.belpsb.by	04.12.25 15:30:00	19043	2.41	774	0	152	134205436	0.99	0	605
AIRFLOW1	vcsa67.belpsb.by	04.12.25 16:00:00	18583	2.35	754	0	194	134205436	0.99	0	586
AIRFLOW1	vcsa67.belpsb.by	04.12.25 16:30:00	12339	1	322	0	64	134205436	0.99	0	145
AIRFLOW1	vcsa67.belpsb.by	04.12.25 17:00:00	13225	1.32	423	0	100	134205436	0.99	0	218
AIRFLOW1	vcsa67.belpsb.by	04.12.25 17:30:00	10687	0.82	264	0	35	134205436	0.99	0	107
AIRFLOW1	vcsa67.belpsb.by	04.12.25 18:00:00	12292	1.02	327	0	65	134205436	0.99	0	176
AIRFLOW1	vcsa67.belpsb.by	04.12.25 18:30:00	8136	0.79	256	0	55	134205436	1.02	0	113
AIRFLOW1	vcsa67.belpsb.by	04.12.25 19:00:00	6493	0.88	284	0	60	134205436	0.99	0	158
AIRFLOW1	vcsa67.belpsb.by	04.12.25 19:30:00	9629	0.8	257	0	35	134205436	1.06	0	106
AIRFLOW1	vcsa67.belpsb.by	04.12.25 20:00:00	11240	1.02	328	0	60	134205436	0.99	0	159
AIRFLOW1	vcsa67.belpsb.by	04.12.25 20:30:00	5741	0.69	223	0	35	134205436	0.99	0	106
AIRFLOW1	vcsa67.belpsb.by	04.12.25 21:00:00	10940	1.01	325	0	117	134205436	0.99	0	158
AIRFLOW1	vcsa67.belpsb.by	04.12.25 21:30:00	6417	0.74	237	0	35	134205436	0.99	0	106
AIRFLOW1	vcsa67.belpsb.by	04.12.25 22:00:00	9521	0.98	317	0	195	134205436	0.99	0	158
AIRFLOW1	vcsa67.belpsb.by	04.12.25 22:30:00	6982	0.76	244	0	35	134205436	0.99	0	106
AIRFLOW1	vcsa67.belpsb.by	04.12.25 23:00:00	8002	0.94	301	0	60	134205436	0.99	0	157
AIRFLOW1	vcsa67.belpsb.by	04.12.25 23:30:00	5087	0.67	216	0	36	134205436	0.99	0	106
AIRFLOW1	vcsa67.belpsb.by	05.12.25 00:00:00	10744	1	323	0	265	134205436	1.02	0	158
AIRFLOW1	vcsa67.belpsb.by	05.12.25 00:30:00	10626	0.85	273	0	35	134205436	0.99	0	105
